__label__Neg	سیستم خوبی نبود از ساعت ۱۱تا ساعت۱۲:۴۰منتظر نوبتم بودم در حالیکه،در این مدت زمان تعداد زیادی مراجعه کننده حضور نداشت یعنی در حالت غیر الکترونیک کار بنده زودتر راه میوفتاد،در ضمن کسانی هم که همراه اول نداشتند قادر به نوبت گیری نبوند
__label__Neg	بدترین شرایط در ارایه نوبت هست همه مردم ناراضی هستن لطفا خودتون از اتاقتون بیایید بیرون یه نگاهی به وضعیت بد مراجعه کنندگان بندازید مثل‌بانکهای دهه شصت همه دم این باجه ها بدون نوبت ایستادن نه از روی شماره کسی کار انجام میده نه صف، تعداد کارمندها هم بسیار کم هست یک نفر باید کار جمعیت. یادی رو انجام بده این پولها رو اینجا خرج کنید نه برای اقای مرتضوی کنار بذارید
__label__Neg	بازم صد رحمت به همون نوبت دهی دستگاه که توی خود شعبه انجام میشد. الان وقتی مراجعه میکنی و مثلا ساعت هشت صبح وقت داری میبینی که پنج نفر جلوی شما توی صف هستند و باید برای اینکه به آنها بفهمانی که اینترانتی نوبت شما ساعت هشت هست و الان باید مسئول باجه جوابگوی شما باشد با آنها درگیر شوی سر نوبت. که متاسفانه به جای اینکه هر روز بهتر شود ، بدتر میشود
__label__Pos	لطفا به جای صدور دفترچه بیمه کاغذی از دفترچه بیمه الکترونیکی استفاده شود .
__label__Neg	کلا همش انتقاده ولی گفتنش فایده نداره همه چی گلو بلبله
__label__Neg	سیستم قط شده بود همه باجه ها خالی بود دولت نداره نیرو بزاره سر کار
__label__Neg	من کلی راضی نبودم کاری کردن که کلی بیمه زده بشم به بیمه عمر پناه ببرم
__label__Pos	خدا قوت
__label__Pos	واقعا عالی انجام شد در کمترین زمان ممکن. سپاسگزارم.
__label__Neg	اطلاع رسانی برای طریقه نوبت دهی کاملا بد و وقتی از مسئولین باجه سوال پرسیده میشه خیلی بد پاسخ داده میشه.
__label__Neg	من برای بیمه بیکاری شعبه 22 نوبت گرفتم.که گفتن هنوز برای این واحد راه اندازی نشده. و انتظار الکی و ارجاع به یکماه دیگه...واقعا تاسف باره برای سیستم به این بزرگی...
__label__Pos	لطفا سیستم نوبت دهی را برای سایر عملیات تامین اجتماعی از قبیل صدور مفاصاحساب بیمه و... فعال نمایید
__label__Neg	واقعا مسخره اس
__label__Neg	نوبت دهی اینترنتی فقط در نوبت اول مراجعه راهگشاست در صورتی که برای انجام هر کاری برای انجام کار اداری آن باید چند نوبت در صف ایستاد
__label__Neg	طرز بر خورد قسمت درامد با مراجع کننده اصلا خوب نیست به ویژه خانم زارع که اصلا پاسخ درست و کامل. نمیدهند و همیشه بد برخورد هستن
__label__Neg	بسیار ضعیف و سیستم اداری بسیار اتلاف وقت میکند
__label__Pos	نوبن دهی با 142 عالی بود
__label__Neg	همکاری لازم ندارند
__label__Neg	نوبت دهی اینترنتی اصلا به درد نمیخوره
__label__Pos	ممنون از شما و همکارانتون
__label__Pos	از خدمات نوبت دهی که برقرار کردید ممنونم خیلی ممنونم
__label__Pos	باسلام وآرزوی سلامتی برای پرسنل محترم سازمان تامین اجتماعی..درصورت امکان وبه جهت سرعت بخشیدن به امورات بیمه شدگان لطف فرمایید درپروسه به روز رسانی کدملی جهت نامنویسی ، اقدامات مقتضی رامعمول فرمایید.باتشکروقدردانی اززحمات شما.
__label__Neg	این طرح مسخرتون رو جمع کنید چون همه مراجعه کننده ها گوشی موبایل همراهشون نیست . شما با این طرحتون مردم رو به زور وادار میکنید از اینترنت استفاده کنند . گوشی همه که اندروید نیست . طرحتون بسیار مسخره و مزخرف بود . هم کلی وقت گیره . امروز من 4 بار مراحلش رو انجام دادم اخرش ناموفق میشد و درنهایت کارمند خودتون زحمتش رو کشید . در ضمن اون خانم ها از تعداد سوالات مردم و قطعی اینترنت اونجا کلافه شده بودند . هم برای مردم کار درست کردید هم برای کارمندان خودتون . این طرح باید اختیاری باشه نه اجباری .
__label__Neg	بیمه تامین اجتماعی اینترنت و وقت اینترنتی نمیخواد با خدمات رسانی افتضاحش که همش سیستم هاش قطعه باید برید با چرتکه کار کنید متاسفم براتون جیب ملت رو میزنید خدماتتون هم که افتضاحه
__label__Neg	اگر نوبت اینترنتی میدهید لطفا طوری باشد که بعد از مراجعه معطلی نداشته باشیم
__label__Pos	با تشکر از اهمیت دادن شما به نظر خواهی/موفق و پاینده باشید
__label__Neg	ششماه از سال گذشته هنوز معوقه افزایش حقوق پرداخت نشده
__label__Pos	ممنون از انجام این کار
__label__Neg	متصدی بدون توجه به رزرو اینترنتی گفت ساعت ۱۵ به بعد رزرو اینترنتی نداریم
__label__Pos	ای کاش همه کارکنان شعبه ۹ مثل آقای پور صفری واحد درآمد طبقه شش باجه ۴، خوشبرخورد و با اخلاق و سریع کارها رو انجام میدادن، من از آقای پورصفری کمال تشکر را دارم
__label__Pos	باتشکرفراوان از مسئول محترم مستمری
__label__Pos	با سلام اگر یه کم رفتار پرسنل مهربانتر باشد برای هر دو طرف روز بهتری شروع میشود .متشکرم
__label__Pos	با یکروز تاخیر در پرداخت حق بیمه اختیاری سه ماه بیمه از بین میرود با توجه به اینکه برای هر کسی ممکن است مشکلی پیش بیاید، این قانون غیر منصفانه میباشد و لازم است مورد تجدید نظر قرار بگیرد
__label__Neg	واقعا جای تاسف و تاثر داره ،کارمندان بی اعصاب،مراجعین بی چاره
__label__Neg	خیلی افتضاح بود واقعا برای کم کاری شیوه خوبیه
__label__Neg	بعنوان پزشک که تاحد زیادی با اینترنتآشنایی دارم طرح بسیار بسیار نسنجیده بی مورد و مزخرفی را ارایه کرده اید که فقط از روابط الکترونیک اسمی از آن هست
__label__Neg	این سیستم کارآیی لازم رو ندارد لطفا تجدید نظر کرده و رفاه مراجعه کننده رو اولویت کار قرار دهید
__label__Pos	کارمند فقط مرتضی فرخ بخت فومنی شعبه شفت
__label__Neg	این که اینترنتی نوبت بگیریم بعد 3 ساعت هم سر پا وایسیم چیه جز مردم آزاری؟
__label__Pos	باسلام وخسته نبا شید اگر امکان دارد در تمامی قسمتهای بیمه مانند نامنویسی وسوابق این کار انجام شود بهتر است باتشکر از شما
__label__Pos	با ارزوی موفقیت روز افزون
__label__Pos	لطفا زمان رسیدگی را کمتر فرمایید
