,degree_centrality,betweenness_centrality,closeness_centrality,Modularity
1,0.2127659574468085,0.05715306192203802,0.5,0
4,0.19148936170212766,0.056529649894711494,0.4895833333333333,0
5,0.14893617021276595,0.050774035811038586,0.47959183673469385,0
37,0.0851063829787234,0.0053484597425393,0.3983050847457627,1
2,0.1276595744680851,0.005885881001514674,0.4563106796116505,2
15,0.46808510638297873,0.20796521399520576,0.6103896103896104,3
25,0.10638297872340426,0.00214347786040663,0.44339622641509435,2
51,0.1276595744680851,0.01041369788387657,0.4563106796116505,2
3,0.14893617021276595,0.02378482602811928,0.46534653465346537,4
9,0.0851063829787234,0.006151050695575745,0.41228070175438597,4
16,0.14893617021276595,0.04393639816859058,0.46534653465346537,4
36,0.2553191489361702,0.08943404473006693,0.5108695652173914,4
10,0.02127659574468085,0.0,0.33098591549295775,0
14,0.3191489361702128,0.09095961152414725,0.5465116279069767,0
23,0.2553191489361702,0.05981026022897585,0.5164835164835165,3
46,0.23404255319148937,0.041803909935269785,0.49473684210526314,0
49,0.2127659574468085,0.03682513368720098,0.5164835164835165,2
6,0.1276595744680851,0.00886057615937357,0.47474747474747475,0
24,0.1276595744680851,0.01991219542098358,0.4351851851851852,2
7,0.0851063829787234,0.0033512740728281892,0.4392523364485981,4
11,0.23404255319148937,0.08082370142962185,0.5280898876404494,1
41,0.23404255319148937,0.08033887943693678,0.4845360824742268,2
50,0.14893617021276595,0.022053831746367894,0.47,0
28,0.02127659574468085,0.0,0.34814814814814815,1
12,0.02127659574468085,0.0,0.2974683544303797,2
44,0.0851063829787234,0.04326859541938173,0.41964285714285715,2
13,0.02127659574468085,0.0,0.32867132867132864,2
17,0.10638297872340426,0.004753839027659564,0.42727272727272725,3
19,0.0425531914893617,0.0009801330337870578,0.33098591549295775,4
18,0.1276595744680851,0.006461840738095666,0.44761904761904764,1
38,0.2553191489361702,0.0583992390750266,0.5280898876404494,1
39,0.10638297872340426,0.020624842317719286,0.41228070175438597,1
21,0.06382978723404255,0.0016959605303731114,0.39166666666666666,2
22,0.2553191489361702,0.12532651915654983,0.5340909090909091,2
26,0.06382978723404255,0.0003924536764499762,0.3790322580645161,0
27,0.02127659574468085,0.0,0.27325581395348836,1
33,0.06382978723404255,0.0448581560283688,0.373015873015873,1
29,0.06382978723404255,0.000385445575084798,0.42342342342342343,3
30,0.14893617021276595,0.009416551930793134,0.44761904761904764,0
31,0.1276595744680851,0.009500505391249827,0.46534653465346537,2
32,0.02127659574468085,0.0,0.34057971014492755,4
35,0.02127659574468085,0.0,0.3263888888888889,0
45,0.19148936170212766,0.05175157259119477,0.5053763440860215,2
47,0.06382978723404255,0.0015880357693493679,0.415929203539823,3
42,0.0851063829787234,0.0027102330293819654,0.41228070175438597,3
43,0.0851063829787234,0.0014955288313290164,0.43119266055045874,3
52,0.0851063829787234,0.012364256238105983,0.38524590163934425,0
53,0.0851063829787234,0.010497925075070993,0.42727272727272725,0
